TEMP,SALT,d5,d10,d30,d50,d100,d150,d200,d300,d500,d700,d900,d1000,d1200
24.091,35.034,24.073,24.055,23.994,24.048,23.639,21.873,19.651,15.956,11.262,8.435,6.09,5.311,4.327
24.714,35.066,24.674,24.637,24.483,23.911,23.692,22.093,19.89,16.068,11.295,8.481,6.096,5.299,4.297
25.922,35.092,25.857,25.795,25.441,24.286,23.761,22.119,20.029,16.194,11.337,8.52,6.117,5.343,4.351
28.173,35.065,28.111,28.051,27.6,26.353,23.515,22.071,20.017,16.168,11.331,8.526,6.134,5.322,4.319
28.401,34.997,28.346,28.292,27.984,24.211,23.989,21.954,19.955,16.076,11.204,8.421,6.075,5.278,4.271
28.328,34.934,28.284,28.244,28.024,26.7,23.845,21.453,19.468,15.717,11.019,8.227,5.932,5.196,4.275
27.817,34.932,27.805,27.792,27.721,26.866,23.806,21.318,19.341,15.686,11.126,8.365,6.006,5.265,4.305
26.94,34.94,26.936,26.932,26.906,27.105,23.572,21.393,19.392,15.711,11.199,8.442,6.078,5.294,4.32
25.653,34.991,25.652,25.65,25.651,26.753,23.755,21.293,19.257,15.634,11.155,8.381,6.037,5.273,4.288
24.548,35.029,24.547,24.545,24.537,25.692,24,21.37,19.33,15.627,11.124,8.33,6.023,5.257,4.279
24.035,35.031,24.029,24.023,23.996,24.556,23.71,21.612,19.526,15.748,11.168,8.413,6.109,5.314,4.327
24.026,35.03,24.009,23.991,23.935,23.988,23.584,21.848,19.642,15.955,11.243,8.445,6.1,5.321,4.35
24.627,35.058,24.59,24.553,24.401,23.854,23.641,22.074,19.89,16.072,11.28,8.488,6.104,5.314,4.317
25.833,35.085,25.771,25.711,25.371,24.839,23.702,22.059,19.997,16.167,11.298,8.495,6.103,5.337,4.362
28.101,35.069,28.043,27.986,27.564,26.356,23.809,22.035,20.001,16.168,11.303,8.511,6.132,5.318,4.324
28.358,35.001,28.302,28.248,27.946,23.928,23.743,21.902,19.919,16.056,11.179,8.416,6.069,5.28,4.285
28.287,34.931,28.243,28.202,27.976,26.678,23.462,21.395,19.44,15.704,11.011,8.253,5.954,5.21,4.292
27.752,34.939,27.742,27.73,27.658,26.868,23.494,21.232,19.273,15.657,11.125,8.385,6.015,5.262,4.319
26.888,34.938,26.885,26.88,26.846,27.06,23.69,21.302,19.318,15.657,11.175,8.452,6.081,5.289,4.33
25.581,34.995,25.581,25.58,25.582,26.69,23.918,21.212,19.2,15.609,11.143,8.404,6.046,5.28,4.308
24.5,35.027,24.499,24.498,24.488,25.622,23.92,21.302,19.278,15.6,11.114,8.336,6.029,5.267,4.304
23.98,35.026,23.975,23.969,23.941,24.504,23.652,21.576,19.487,15.727,11.171,8.435,6.122,5.324,4.344
23.961,35.026,23.944,23.927,23.875,23.795,23.528,21.823,19.635,15.955,11.231,8.461,6.109,5.33,4.373
24.538,35.052,24.502,24.466,24.314,24.129,23.579,22.038,19.875,16.07,11.264,8.492,6.105,5.322,4.336
25.746,35.078,25.689,25.633,25.303,24.78,23.642,21.999,19.965,16.144,11.268,8.476,6.088,5.323,4.372
28.028,35.071,27.973,27.919,27.524,26.339,23.751,21.976,19.967,16.16,11.286,8.507,6.125,5.31,4.33
28.309,35.002,28.255,28.201,27.905,26.654,23.66,21.825,19.865,16.027,11.164,8.421,6.063,5.277,4.298
28.248,34.93,28.205,28.167,27.933,26.862,23.395,21.333,19.411,15.697,11.007,8.281,5.974,5.22,4.306
27.69,34.946,27.681,27.67,27.597,27.005,23.398,21.132,19.192,15.615,11.122,8.4,6.023,5.258,4.33
26.833,34.936,26.829,26.825,26.784,26.624,23.608,21.205,19.24,15.596,11.148,8.457,6.081,5.28,4.338
25.513,34.997,25.513,25.513,25.516,25.554,23.82,21.123,19.137,15.575,11.121,8.421,6.05,5.282,4.324
24.459,35.021,24.458,24.457,24.446,24.459,23.841,21.223,19.212,15.561,11.099,8.345,6.034,5.273,4.326
23.928,35.021,23.923,23.918,23.89,23.872,23.596,21.547,19.456,15.717,11.175,8.458,6.129,5.328,4.36
23.895,35.022,23.879,23.863,23.813,23.733,23.469,21.795,19.626,15.949,11.22,8.476,6.114,5.335,4.394
24.452,35.046,24.418,24.383,24.229,24.048,23.511,21.987,19.843,16.061,11.249,8.494,6.1,5.323,4.353
25.663,35.071,25.612,25.561,25.236,24.719,23.584,21.945,19.938,16.131,11.251,8.47,6.074,5.306,4.381
27.952,35.071,27.901,27.852,27.48,26.305,23.546,21.898,19.919,16.147,11.278,8.512,6.115,5.301,4.34
28.255,35.001,28.202,28.15,27.861,26.631,23.672,21.731,19.803,15.997,11.154,8.432,6.055,5.272,4.312
28.211,34.931,28.169,28.133,27.893,26.849,23.564,21.27,19.383,15.694,11.007,8.306,5.992,5.229,4.321
27.634,34.951,27.627,27.616,27.542,26.952,23.319,21.032,19.113,15.572,11.114,8.408,6.027,5.252,4.341
26.776,34.935,26.772,26.767,26.724,26.56,23.299,21.109,19.165,15.534,11.117,8.453,6.073,5.269,4.343
25.456,34.995,25.456,25.456,25.46,25.497,23.516,21.029,19.07,15.532,11.087,8.423,6.048,5.281,4.338
24.428,35.011,24.427,24.426,24.412,24.424,23.716,21.139,19.138,15.513,11.077,8.353,6.035,5.275,4.345
23.879,35.014,23.875,23.87,23.843,23.822,23.761,21.521,19.431,15.718,11.175,8.477,6.13,5.328,4.375
23.83,35.019,23.815,23.8,23.75,23.669,23.411,21.761,19.613,15.935,11.207,8.491,6.116,5.339,4.412
24.372,35.042,24.34,24.306,24.15,23.973,23.445,21.929,19.8,16.047,11.237,8.496,6.094,5.319,4.37
25.584,35.063,25.539,25.493,25.172,24.661,23.529,21.902,19.923,16.134,11.244,8.472,6.063,5.29,4.39
27.877,35.069,27.83,27.784,27.433,26.259,23.237,21.811,19.865,16.135,11.272,8.515,6.104,5.292,4.353
28.195,34.999,28.144,28.095,27.813,26.605,23.579,21.628,19.738,15.973,11.146,8.444,6.046,5.268,4.327
28.173,34.931,28.133,28.099,27.854,26.83,23.463,21.207,19.355,15.691,11.004,8.323,6.003,5.236,4.335
27.586,34.95,27.58,27.57,27.499,26.908,23.206,20.945,19.046,15.533,11.1,8.405,6.024,5.247,4.351
26.72,34.932,26.715,26.709,26.668,26.504,23.418,21.018,19.097,15.478,11.08,8.437,6.058,5.257,4.349
25.409,34.987,25.41,25.411,25.416,25.451,23.612,20.938,19.008,15.488,11.047,8.412,6.04,5.275,4.35
24.406,34.998,24.405,24.404,24.389,24.4,23.692,21.061,19.076,15.472,11.055,8.358,6.032,5.272,4.363
23.835,35.006,23.832,23.828,23.802,23.779,23.507,21.493,19.409,15.722,11.169,8.486,6.126,5.325,4.389
23.767,35.015,23.753,23.739,23.689,23.606,23.36,21.724,19.599,15.917,11.193,8.502,6.114,5.341,4.428
24.299,35.038,24.27,24.237,24.082,23.909,23.392,21.873,19.755,16.034,11.23,8.5,6.09,5.313,4.387
25.508,35.055,25.468,25.426,25.11,24.608,23.481,21.868,19.919,16.15,11.245,8.478,6.055,5.277,4.401
27.801,35.065,27.758,27.715,27.387,26.211,23.484,21.73,19.817,16.128,11.265,8.513,6.091,5.288,4.369
28.131,34.996,28.082,28.035,27.759,26.461,23.357,21.52,19.672,15.955,11.136,8.449,6.035,5.266,4.343
28.132,34.931,28.093,28.062,27.817,26.571,23.151,21.142,19.322,15.685,10.995,8.329,6.004,5.241,4.35
27.545,34.947,27.54,27.531,27.465,26.806,23.12,20.87,18.994,15.5,11.079,8.391,6.012,5.24,4.362
26.668,34.928,26.663,26.657,26.621,26.878,23.319,20.935,19.041,15.43,11.039,8.411,6.036,5.244,4.354
25.375,34.976,25.376,25.376,25.384,25.419,23.513,20.855,18.955,15.446,11.004,8.389,6.026,5.266,4.362
24.392,34.981,24.391,24.39,24.373,24.385,23.64,20.999,19.036,15.447,11.032,8.357,6.025,5.266,4.379
23.794,34.997,23.792,23.788,23.763,23.742,23.479,21.465,19.389,15.727,11.154,8.483,6.116,5.321,4.402
